Company,Total Complaints,Average Severity
"EQUIFAX, INC.",877822,1.1952195319780092
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",795897,1.6103302311731291
Experian Information Solutions Inc.,730403,1.3633131298748773
"BANK OF AMERICA, NATIONAL ASSOCIATION",135193,1.3276722907251115
WELLS FARGO & COMPANY,123208,1.203314719823388
JPMORGAN CHASE & CO.,112368,1.223640182258294
CAPITAL ONE FINANCIAL CORPORATION,91741,1.2323388670278284
"CITIBANK, N.A.",89898,1.3037664909119224
SYNCHRONY FINANCIAL,47774,1.3797881692971072
"Navient Solutions, LLC.",38998,1.0660290271295965
U.S. BANCORP,34595,1.3286313051018934
Ocwen Financial Corporation,34371,1.0871665066480463
AMERICAN EXPRESS COMPANY,31577,1.3036703930075688
DISCOVER BANK,26832,1.2886106141920095
PORTFOLIO RECOVERY ASSOCIATES INC,26017,1.3056847445900757
"Bread Financial Holdings, Inc.",25620,1.4352459016393442
PNC Bank N.A.,23938,1.1742835658785196
ENCORE CAPITAL GROUP INC.,23791,1.367407843302089
TD BANK US HOLDING COMPANY,23234,1.389558405784626
"Paypal Holdings, Inc",21375,1.343625730994152
NATIONSTAR MORTGAGE LLC,19296,1.0366915422885572
Resurgent Capital Services L.P.,17649,1.0914499405065443
NAVY FEDERAL CREDIT UNION,16671,1.195669126027233
BARCLAYS BANK DELAWARE,16579,1.2307738705591411
ALLY FINANCIAL INC.,16115,1.158423828730996
AES/PHEAA,15657,1.2373379319154372
Ditech Financial LLC,14953,1.0882766000133752
"SELECT PORTFOLIO SERVICING, INC.",13482,1.0119418483904465
"CITIZENS FINANCIAL GROUP, INC.",12619,1.2132498613202314
UNITED SERVICES AUTOMOBILE ASSOCIATION,12522,1.1607570675610925
Santander Consumer USA Holdings Inc.,12455,1.0772380570052187
ERC,12437,1.3037710058695826
HSBC NORTH AMERICA HOLDINGS INC.,11423,1.1110916571828766
TRUIST FINANCIAL CORPORATION,11342,1.1317228002116029
LEXISNEXIS,11146,1.1591602368562712
"Nelnet, Inc.",10917,1.008152422826784
FIFTH THIRD FINANCIAL CORPORATION,10522,1.2143128682759932
"I.C. System, Inc.",10393,1.0043298373905514
TRANSWORLD SYSTEMS INC,9767,1.002969181939183
Mr. Cooper Group Inc.,9740,1.0078028747433265
"SUNTRUST BANKS, INC.",9643,1.2842476407756922
"Shellpoint Partners, LLC",9616,1.0370216306156406
"Convergent Resources, Inc.",8966,1.0014499219272808
Specialized Loan Servicing Holdings LLC,8477,1.0657072077385867
"CCS Financial Services, Inc.",8329,1.0156081162204347
CL Holdings LLC,7437,1.2599166330509615
Chime Financial Inc,7291,1.080921684268276
REGIONS FINANCIAL CORPORATION,7275,1.3828178694158075
M&T BANK CORPORATION,7166,1.2232765838682669
"National Credit Systems,Inc.",7129,1.013185580025249
"LoanCare, LLC",6499,1.0235420833974458
"Coinbase, Inc.",6468,1.1660482374768089
GOLDMAN SACHS BANK USA,6448,1.2180521091811414
Freedom Mortgage Company,6214,1.0040231734792404
KEYCORP,6152,1.2426853055916776
CREDIT ACCEPTANCE CORPORATION,6114,1.0636244684331044
"Fidelity National Information Services, Inc. (FNIS)",5684,1.0121393384940183
Comerica,5614,1.3273957962237264
BB&T CORPORATION,5525,1.0542986425339367
"General Motors Financial Company, Inc.",5389,1.184820931527185
MOHELA,5257,1.3016929807875215
