zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate,similar_zip,similar_data,anomaly_reason
99918,219,Alaska Power and Telephone Co,AK,Bundled,Investor Owned,0.2493886230728336,0.0,0.2869302273490872,utility_39059,0.4164417088031769,commercial rate significantly higher than average; residential rate significantly higher than average
99720,219,Alaska Power and Telephone Co,AK,Bundled,Investor Owned,0.2493886230728336,0.0,0.2869302273490872,utility_39059,0.4164417088031769,commercial rate significantly higher than average; residential rate significantly higher than average
99926,219,Alaska Power and Telephone Co,AK,Bundled,Investor Owned,0.2493886230728336,0.0,0.2869302273490872,utility_39059,0.4164417088031769,commercial rate significantly higher than average; residential rate significantly higher than average
99830,219,Alaska Power and Telephone Co,AK,Bundled,Investor Owned,0.2493886230728336,0.0,0.2869302273490872,utility_39059,0.4164417088031769,commercial rate significantly higher than average; residential rate significantly higher than average
99840,219,Alaska Power and Telephone Co,AK,Bundled,Investor Owned,0.2493886230728336,0.0,0.2869302273490872,utility_39059,0.4164417088031769,commercial rate significantly higher than average; residential rate significantly higher than average
99901,219,Alaska Power and Telephone Co,AK,Bundled,Investor Owned,0.2493886230728336,0.0,0.2869302273490872,utility_39059,0.4164417088031769,commercial rate significantly higher than average; residential rate significantly higher than average
99921,219,Alaska Power and Telephone Co,AK,Bundled,Investor Owned,0.2493886230728336,0.0,0.2869302273490872,utility_39059,0.4164417088031769,commercial rate significantly higher than average; residential rate significantly higher than average
99925,219,Alaska Power and Telephone Co,AK,Bundled,Investor Owned,0.2493886230728336,0.0,0.2869302273490872,utility_39059,0.4164417088031769,commercial rate significantly higher than average; residential rate significantly higher than average
99827,219,Alaska Power and Telephone Co,AK,Bundled,Investor Owned,0.2493886230728336,0.0,0.2869302273490872,utility_39059,0.4164417088031769,commercial rate significantly higher than average; residential rate significantly higher than average
99738,219,Alaska Power and Telephone Co,AK,Bundled,Investor Owned,0.2493886230728336,0.0,0.2869302273490872,utility_39059,0.4164417088031769,commercial rate significantly higher than average; residential rate significantly higher than average
99764,219,Alaska Power and Telephone Co,AK,Bundled,Investor Owned,0.2493886230728336,0.0,0.2869302273490872,utility_39059,0.4164417088031769,commercial rate significantly higher than average; residential rate significantly higher than average
99726,219,Alaska Power and Telephone Co,AK,Bundled,Investor Owned,0.2493886230728336,0.0,0.2869302273490872,utility_39059,0.4164417088031769,commercial rate significantly higher than average; residential rate significantly higher than average
99780,219,Alaska Power and Telephone Co,AK,Bundled,Investor Owned,0.2493886230728336,0.0,0.2869302273490872,utility_39059,0.4164417088031769,commercial rate significantly higher than average; residential rate significantly higher than average
99929,219,Alaska Power and Telephone Co,AK,Bundled,Investor Owned,0.2493886230728336,0.0,0.2869302273490872,utility_39059,0.4164417088031769,commercial rate significantly higher than average; residential rate significantly higher than average
99737,219,Alaska Power and Telephone Co,AK,Bundled,Investor Owned,0.2493886230728336,0.0,0.2869302273490872,utility_39059,0.4164417088031769,commercial rate significantly higher than average; residential rate significantly higher than average
