zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
39730,55,City of Aberdeen - (MS),MS,Bundled,Municipal,0.10687263556116015,0.04379578754578754,0.11240007212838853
38858,55,City of Aberdeen - (MS),MS,Bundled,Municipal,0.10687263556116015,0.04379578754578754,0.11240007212838853
21864,84,A & N Electric Coop,MD,Bundled,Cooperative,0.12754158964879853,0,0.12704523580365737
21824,84,A & N Electric Coop,MD,Bundled,Cooperative,0.12754158964879853,0,0.12704523580365737
21866,84,A & N Electric Coop,MD,Bundled,Cooperative,0.12754158964879853,0,0.12704523580365737
21851,84,A & N Electric Coop,MD,Bundled,Cooperative,0.12754158964879853,0,0.12704523580365737
21863,84,A & N Electric Coop,MD,Bundled,Cooperative,0.12754158964879853,0,0.12704523580365737
23302,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23308,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23486,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23350,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23395,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23410,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23417,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23416,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23426,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23418,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23421,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23306,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23488,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23414,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23442,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23358,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23307,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23301,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23480,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23401,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23356,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23415,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23336,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23359,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23357,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23341,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23423,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23427,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23303,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23337,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23420,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23310,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23407,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23354,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23413,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23409,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
23405,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873010717766,0.07822747137051,0.12105387062322719
